metering_point_id,energy_type,timestamp,value_kwh
energy_community_consumption,consumption,2025-01-01T00:00:00,11.394
energy_community_consumption,consumption,2025-01-01T00:15:00,5.25
energy_community_consumption,consumption,2025-01-01T00:30:00,7.75
energy_community_consumption,consumption,2025-01-01T00:45:00,7.233
energy_community_consumption,consumption,2025-01-01T01:00:00,12.366
energy_community_consumption,consumption,2025-01-01T01:15:00,11.769
energy_community_consumption,consumption,2025-01-01T01:30:00,13.927
energy_community_consumption,consumption,2025-01-01T01:45:00,5.88
energy_community_consumption,consumption,2025-01-01T02:00:00,9.24
energy_community_consumption,consumption,2025-01-01T02:15:00,5.339
energy_community_consumption,consumption,2025-01-01T02:30:00,7.264
energy_community_consumption,consumption,2025-01-01T02:45:00,10.196
energy_community_consumption,consumption,2025-01-01T03:00:00,5.519
energy_community_consumption,consumption,2025-01-01T03:15:00,7.426
energy_community_consumption,consumption,2025-01-01T03:30:00,12.231
energy_community_consumption,consumption,2025-01-01T03:45:00,11.639
energy_community_consumption,consumption,2025-01-01T04:00:00,9.075
energy_community_consumption,consumption,2025-01-01T04:15:00,13.745
energy_community_consumption,consumption,2025-01-01T04:30:00,17.31
energy_community_consumption,consumption,2025-01-01T04:45:00,11.104
energy_community_consumption,consumption,2025-01-01T05:00:00,21.443
energy_community_consumption,consumption,2025-01-01T05:15:00,23.264
energy_community_consumption,consumption,2025-01-01T05:30:00,23.118
energy_community_consumption,consumption,2025-01-01T05:45:00,25.157
energy_community_consumption,consumption,2025-01-01T06:00:00,37.363
energy_community_consumption,consumption,2025-01-01T06:15:00,35.431
energy_community_consumption,consumption,2025-01-01T06:30:00,37.079
energy_community_consumption,consumption,2025-01-01T06:45:00,40.72
energy_community_consumption,consumption,2025-01-01T07:00:00,51.051
energy_community_consumption,consumption,2025-01-01T07:15:00,50.417
energy_community_consumption,consumption,2025-01-01T07:30:00,53.071
energy_community_consumption,consumption,2025-01-01T07:45:00,51.677
energy_community_consumption,consumption,2025-01-01T08:00:00,47.939
energy_community_consumption,consumption,2025-01-01T08:15:00,49.484
energy_community_consumption,consumption,2025-01-01T08:30:00,39.937
energy_community_consumption,consumption,2025-01-01T08:45:00,37.586
energy_community_consumption,consumption,2025-01-01T09:00:00,36.085
energy_community_consumption,consumption,2025-01-01T09:15:00,29.787
energy_community_consumption,consumption,2025-01-01T09:30:00,28.332
energy_community_consumption,consumption,2025-01-01T09:45:00,22.056
energy_community_consumption,consumption,2025-01-01T10:00:00,20.43
energy_community_consumption,consumption,2025-01-01T10:15:00,11.498
energy_community_consumption,consumption,2025-01-01T10:30:00,11.495
energy_community_consumption,consumption,2025-01-01T10:45:00,10.747
energy_community_consumption,consumption,2025-01-01T11:00:00,7.67
energy_community_consumption,consumption,2025-01-01T11:15:00,8.52
energy_community_consumption,consumption,2025-01-01T11:30:00,6.748
energy_community_consumption,consumption,2025-01-01T11:45:00,8.227
energy_community_consumption,consumption,2025-01-01T12:00:00,11.627
energy_community_consumption,consumption,2025-01-01T12:15:00,8.821
energy_community_consumption,consumption,2025-01-01T12:30:00,8.832
energy_community_consumption,consumption,2025-01-01T12:45:00,7.225
energy_community_consumption,consumption,2025-01-01T13:00:00,7.839
energy_community_consumption,consumption,2025-01-01T13:15:00,14.619
energy_community_consumption,consumption,2025-01-01T13:30:00,11.873
energy_community_consumption,consumption,2025-01-01T13:45:00,11.7
energy_community_consumption,consumption,2025-01-01T14:00:00,7.643
energy_community_consumption,consumption,2025-01-01T14:15:00,13.688
energy_community_consumption,consumption,2025-01-01T14:30:00,8.687
energy_community_consumption,consumption,2025-01-01T14:45:00,11.751
energy_community_consumption,consumption,2025-01-01T15:00:00,19.064
energy_community_consumption,consumption,2025-01-01T15:15:00,17.158
energy_community_consumption,consumption,2025-01-01T15:30:00,18.358
energy_community_consumption,consumption,2025-01-01T15:45:00,22.165
energy_community_consumption,consumption,2025-01-01T16:00:00,26.816
energy_community_consumption,consumption,2025-01-01T16:15:00,29.772
energy_community_consumption,consumption,2025-01-01T16:30:00,28.462
energy_community_consumption,consumption,2025-01-01T16:45:00,31.127
energy_community_consumption,consumption,2025-01-01T17:00:00,38.96
energy_community_consumption,consumption,2025-01-01T17:15:00,43.692
energy_community_consumption,consumption,2025-01-01T17:30:00,48.347
energy_community_consumption,consumption,2025-01-01T17:45:00,60.673
energy_community_consumption,consumption,2025-01-01T18:00:00,64.553
energy_community_consumption,consumption,2025-01-01T18:15:00,62.777
energy_community_consumption,consumption,2025-01-01T18:30:00,69.106
energy_community_consumption,consumption,2025-01-01T18:45:00,68.335
energy_community_consumption,consumption,2025-01-01T19:00:00,74.145
energy_community_consumption,consumption,2025-01-01T19:15:00,68.967
energy_community_consumption,consumption,2025-01-01T19:30:00,65.2
energy_community_consumption,consumption,2025-01-01T19:45:00,62.097
energy_community_consumption,consumption,2025-01-01T20:00:00,61.403
energy_community_consumption,consumption,2025-01-01T20:15:00,53.871
energy_community_consumption,consumption,2025-01-01T20:30:00,52.083
energy_community_consumption,consumption,2025-01-01T20:45:00,49.993
energy_community_consumption,consumption,2025-01-01T21:00:00,39.799
